Territorialidades,Esperança de vida ao nascer 2010,Mortalidade infantil 2010,Taxa de analfabetismo - 15 anos ou mais de idade 2010,Produto Interno Bruto per capita 2013,Produto Interno Bruto per capita 2014,Produto Interno Bruto per capita 2015,Produto Interno Bruto per capita 2016,Taxa de mortalidade infantil 2013,Taxa de mortalidade infantil 2014,Taxa de mortalidade infantil 2015,Taxa de mortalidade infantil 2016,Taxa de mortalidade infantil 2017,% de meninas de 10 a 14 anos de idade que tiveram filhos 2013,% de meninas de 10 a 14 anos de idade que tiveram filhos 2014,% de meninas de 10 a 14 anos de idade que tiveram filhos 2015,% de meninas de 10 a 14 anos de idade que tiveram filhos 2016,% de meninas de 10 a 14 anos de idade que tiveram filhos 2017,% de pobres 2010
Lucena (PB),69.03,30.4,25.32,8.99,11.91,11.15,9.61,14.02,12.74,4.93,31.96,13.1,0.93,1.27,1.48,0.91,1.75,42.91
Lucianópolis (SP),73.55,17.1,7.96,11.72,12.38,11.62,14.91,0,0,35.71,0,0,,4.35,,3.7,4.17,2.62
Luciara (MT),72.29,19.9,13.48,7.77,8.03,8.49,9.17,0,0,0,37.04,33.33,2.94,,,,,16.54
Lucrécia (RN),72.12,20.7,23.93,7.08,6.98,7.44,5.89,46.51,40,0,0,0,2.33,,2.04,6.06,,37.17
Luís Antônio (SP),74.34,15.8,5.99,68.25,86.13,50.68,49.43,12.12,0,10.31,15.5,26.6,0.61,1.18,1.03,,,4.87
Luisburgo (MG),73.53,17.7,14.96,6.22,8.07,7.99,7.56,10.42,0,11.49,0,18.02,,,1.15,2,0.9,32.91
Luís Correia (PI),68.77,31.8,29.76,5.35,5.82,5.73,5.78,18.6,6.68,18.31,18.22,31.78,2.09,1.11,1.14,0.68,0.73,50.3
Luís Domingues (MA),69.05,32.5,19.44,3.97,4.07,3.55,3.63,8.62,0,16.53,0,7.69,0.86,0.87,0.83,2.97,1.54,53.38
Luís Eduardo Magalhães (BA),74.53,15.5,7.27,38.78,39.39,39.91,32.49,15.99,9.52,12.49,13.59,13.57,0.74,1.25,1.63,1.24,0.79,10.52
Luís Gomes (RN),71.56,22.2,29.21,4.75,4.78,4.49,4.12,7.46,6.21,17.44,7.04,30.49,,1.86,1.16,1.41,2.44,46.87
Luislândia (MG),72.96,18.7,19.38,4.82,4.87,4.84,4.94,14.93,20.83,63.29,22.22,23.53,,,,,1.18,45.13
Luiz Alves (SC),77.17,10.7,4.39,29.85,32.36,29.22,29.38,11.9,0,6.33,11.9,5.62,,,0.63,,,1.67
Luiziana (PR),71.86,18.4,14.63,27.38,27.3,24.55,21.48,19.05,0,27.27,9.52,23.81,0.95,3.19,,0.95,3.57,11.45
Luiziânia (SP),73.88,16.5,12.16,8.48,8.46,7.87,8.26,0,11.63,12.66,17.54,0,2.67,2.33,1.27,1.75,1.52,2.18
Luminárias (MG),74.27,16.5,9.34,7.57,7.85,7.97,8.9,0,36.36,0,0,23.81,,,3.23,,2.38,9.89
Lunardelli (PR),74.57,13.3,16.23,9.95,9.13,9.83,9.65,43.48,0,0,19.23,0,2.17,,1.64,,,13.33
Lupércio (SP),74.81,15,10.98,8.13,9.22,7.65,7.58,19.23,45.45,17.86,0,45.45,1.92,,1.79,,,5.33
Lupionópolis (PR),76.38,11,11.02,12.6,11.74,12.69,12.56,0,19.23,0,0,24.39,3.51,3.85,,1.92,,5.9
Lutécia (SP),75.75,13.6,9.25,22.24,21.18,20.61,21.43,0,23.26,0,0,0,,,,,,8.28
Luzerna (SC),77.59,10.2,2.16,21.33,25.34,19.12,18.12,,,,,,,,,,,0.85
Luziânia (GO),74.86,12.25,7.95,13.81,12.74,12.48,11.6,11.35,13.16,9.27,12.39,10.63,1.1,0.82,0.87,0.93,0.73,11.85
Luzilândia (PI),67,38,35.46,4.57,5.16,4.86,4.93,12.89,15.04,12.5,11.66,5.06,2.84,1.25,3.25,4.66,2.03,42.96
Luzinópolis (TO),68.54,31.2,18.19,10.71,8.02,7.97,7.83,22.73,0,0,0,0,,,,,2.94,29.21
Luz (MG),75,15.3,8.07,17.48,18.12,17.05,15.56,16.04,11.17,5.52,13.7,15.96,2.14,0.56,2.21,,,5.62
Macaé (RJ),74.66,13.6,4.22,70.97,73.42,60.53,48.74,12.13,11.5,11.54,13.88,11.97,0.87,1.08,1.08,0.8,0.64,4.63
Macaíba (RN),72.04,21,22.55,15.39,13.9,13.45,11.22,19.85,20.16,15.27,13.99,7.6,1.21,1.68,1.22,1.29,0.57,26.57
Macajuba (BA),71.81,22.2,27.76,4.34,4.11,3.96,3.98,15.38,27.78,0,22.1,13.51,1.54,,3.08,2.76,0.68,54.31
Maçambará (RS),74.89,12.9,9.92,31.9,29.06,31.08,32.76,0,0,0,32.79,0,,2.7,,,,13.49
Macambira (SE),68.66,31.8,31.5,6.33,5.82,6.37,6.12,10.31,16.81,16,0,0,,,0.8,1.04,1.39,33.44
Macapá (AP),74.19,14.04,6.17,15.85,15.65,14.44,13.24,22.12,19.29,17.7,17.73,21.36,1.47,1.51,1.4,1.22,1.12,18.15
Macaparana (PE),71.7,22.1,31.59,6.28,6.76,6.49,6.52,17.81,10.34,14.74,21.98,5.24,1.78,1.81,1.23,0.27,0.79,38.14
Macarani (BA),71.94,21.8,27.5,5.37,5.83,5.65,5.34,25.32,25.64,24.19,24.15,36.2,3.38,2.05,1.61,1.45,3.62,23.98
Macatuba (SP),76.52,12.5,8.38,16.87,21.92,23.77,24.31,0,9.17,4.98,5,15.63,1.83,0.92,,2,0.52,2.69
Macaubal (SP),75.64,13.8,7.86,13.59,12.71,11.89,11.8,0,0,22.22,0,0,,,1.11,,,2.74
Macaúbas (BA),72.43,20.6,26.44,4.12,4.26,4.26,4.23,15.01,19.1,18.26,10.27,19.93,0.94,1.22,0.61,0.41,0.72,44.17
Macau (RN),72.49,19.8,18.94,26.18,23.38,18.25,11.43,28.41,10.89,14.08,16.95,2.99,0.57,1.74,1.41,1.13,0.9,18.75
Macedônia (SP),76.09,13.1,10.05,11.91,12.65,11.97,12.73,38.46,45.45,31.25,0,41.67,,4.55,,,,3.91
Maceió (AL),72.94,22.02,11.86,13.82,14.3,14.73,13.85,14.3,14.38,14.59,14.53,12.18,1.56,1.24,1.18,1.34,1.14,15.57
Machacalis (MG),71.96,20.4,23.43,7,6.02,6.16,6.73,22.22,20.2,12.35,23.81,0,,,,,,25.28
Machadinho D'Oeste (RO),70.32,25,11.79,9.32,9.18,8.78,8.98,13.62,9.86,22.92,17.59,6.68,0.97,0.79,0.83,1.01,0.67,28.55
Machadinho (RS),73.39,15,10.55,15.2,16.73,17.28,18.44,0,18.18,27.03,0,0,,1.82,1.35,,1.28,13.51
Machado (MG),75.9,14,8.07,15.67,14.65,14.92,14.98,16.67,2.13,20.88,6.3,23.44,0.48,0.21,0.93,0.21,0.59,7.62
Machados (PE),70.99,24,29.35,5.83,6.03,4.78,7.78,11.56,5.29,14.71,5.65,4.72,1.73,1.06,0.98,2.26,0.47,42.83
Macieira (SC),73.38,16,9.63,20.9,17.91,16.46,20.49,,,,,,,,,,,6.53
Macuco (RJ),73.03,16.9,7.92,17.64,18.47,17.85,18.87,27.78,11.24,24.39,28.3,8.85,1.85,1.12,,,,13.88
Macururé (BA),69.9,27.7,25.77,3.78,3.44,3.39,3.25,9.9,17.86,8.7,30.93,33.33,,,,,,47.59
Madalena (CE),71.65,21.8,26.12,3.97,4.64,4.69,4.32,19.51,20.51,4.81,20.62,12.61,0.98,2.05,,,1.26,49.8
Madeiro (PI),71.31,24,33.11,3.72,3.82,3.75,3.79,15.15,20.69,6.54,35.71,22.9,0.76,6.21,,4.46,2.29,59.37
Madre de Deus (BA),72.64,20,5.26,17.35,16.24,17.54,14.62,15.87,18.93,14.62,19.83,21.13,0.95,0.95,1.46,0.85,0.7,22.34
Madre de Deus de Minas (MG),76.38,13.3,6.83,14.86,14.22,15.6,23.54,0,0,23.26,0,16.67,,,2.33,,,16.79
Mãe D'Água (PB),67.7,34.9,30.2,4.88,5.08,4.99,4.94,0,46.51,0,0,23.26,,,1.92,,2.33,46.84
Mãe do Rio (PA),70.75,24.7,17.6,6.9,7.23,6.9,6.46,17.83,11.27,17.32,15.23,19.68,2.92,2.9,0.94,1.18,0.89,35.53
Maetinga (BA),70.07,27.2,32.92,5.04,5.71,6.06,6.38,0,24.69,23.26,32.61,14.49,,,,,,33.28
Mafra (SC),77.82,10,3.45,19.19,20.67,17.7,17.34,4.84,8.77,9.01,5.23,7.12,0.36,0.25,0.13,,0.12,5.4
Magalhães Barata (PA),73.06,19.88,10.63,6.04,5.29,5.21,5.21,9.62,17.09,26.79,0,11.11,0.96,2.56,1.79,1.03,,50.81
Magalhães de Almeida (MA),68.72,33.6,30.45,3.93,4.29,3.55,3.72,21.65,17.54,8.26,5.03,18.96,2.16,2.19,2.07,1.51,1.9,57.66
Magda (SP),74.38,15.7,10.07,18.5,17.22,15.15,14.11,0,0,0,31.25,0,2.63,,,,3.45,4.28
Magé (RJ),74.91,13.34,5.86,10.92,11.08,10.99,10.36,16.01,17.09,14.54,20.27,13.25,0.5,1.12,0.88,0.66,0.62,12.19
Maiquinique (BA),66.4,39.8,26.79,6.23,6.35,6.36,6.09,36.36,15.04,8.4,0,19.8,,1.5,,1.96,1.98,27.36
Mairi (BA),69.63,28.6,24.09,4.3,4.34,4.5,4.34,23.81,10.1,20.62,35.5,19.61,0.48,1.52,2.06,1.18,2.45,39.5
Mairinque (SP),74.85,15,5.41,27.65,26.65,25.56,25.85,8.78,7.12,10.93,9.6,11.9,0.44,0.28,0.68,0.48,0.3,5.48
Mairiporã (SP),77.86,11.95,5,13.65,13.13,12.12,11.58,9.49,17.14,15.37,12.2,8.77,0.52,0.51,0.6,0.38,0.29,5.74
Mairipotaba (GO),76.23,12.9,11.54,14.96,12.99,13.5,15.33,,,,,,7.41,,,,,12.39
Major Gercino (SC),74.06,14.9,7.52,8.68,9.73,8.82,8.99,0,0,0,0,52.63,,2.78,,,,8.26
Major Isidoro (AL),70.31,28.5,35.91,5.21,5.46,5.64,5.41,21.51,0,11.03,12.5,15.38,2.15,2.46,3.31,2.92,1.15,45.15
Major Sales (RN),71.46,22.5,29.03,4.92,6.34,6.11,5.27,0,0,0,0,0,3.28,,1.85,,,37.65
Major Vieira (SC),74.01,15,6.08,16.76,18.59,15.81,15.65,0,0,0,0,12.2,,,,3.31,1.22,17.28
Malacacheta (MG),71.05,22.2,25.22,6.23,6.76,6.75,6.63,26.79,30.89,16,12.3,9.48,1.34,1.16,1.6,2.05,1.42,34.45
Malhada (BA),69.02,30.5,24.31,5.23,5.09,5.1,4.75,9.48,3.88,8.77,13.94,8.06,1.42,1.16,2.19,1.05,1.21,44.63
Malhada de Pedras (BA),69.83,27.9,26.09,4.1,4.32,4.23,4.17,0,9.17,0,9.26,0,0.99,,,0.93,1.1,39.63
Malhada dos Bois (SE),68.31,33,23.66,9.24,9.71,9.15,9.2,0,28.17,35.29,14.29,0,1.41,,3.53,2.86,,36.58
Malhador (SE),71.87,22.2,24.73,7,6.75,6.54,6.61,12.05,11.11,10.05,27.62,11.36,1.2,1.11,3.52,2.21,0.57,31.69
Mallet (PR),73.54,14.7,3.27,24.49,28.6,27.85,29.45,7.25,6.13,30.49,6.41,5.92,0.72,1.23,0.61,,0.59,12.45
Malta (PB),73.01,19.1,27.97,5.25,5.48,5.57,5.56,,,,,,1.16,,1.3,2.9,1.45,32.54
Mamanguape (PB),70.33,26.4,27.9,8.02,8.56,8.81,9.09,16.88,7.76,6.3,14.16,10.06,0.98,1.09,1.89,1.42,2.14,37.04
Mambaí (GO),73.95,14.6,20.22,6.8,7.15,6.41,6.26,15.87,8.85,35.71,26.55,16.26,0.79,0.88,0.89,2.65,0.81,27.71
Mamborê (PR),74.24,13.7,11,25.75,25.77,24.46,25.3,6.02,10.7,44.2,6.13,0,,0.53,1.1,,0.5,12.64
Mamonas (MG),71.73,20.9,28.53,4.25,4.32,4.35,4.68,22.73,21.28,0,0,0,,2.13,,1.61,,32.8
Mampituba (RS),73.8,14.4,10.22,9.54,11.04,11.36,11.38,34.48,0,0,0,0,,,,,3.03,16.34
Manacapuru (AM),72.69,17.23,15.55,11.21,10.7,10.85,8.65,10.5,14.55,15.46,18.38,11.35,3.25,2.49,2.56,2.06,2.22,35.47
Manaíra (PB),66.85,38,35.01,3.93,4.26,4.14,4.27,11.83,12.74,18.63,6.8,24.79,,1.27,2.48,2.04,3.31,47.91
Manaquiri (AM),69.88,25.8,10.63,5.75,5.92,5.88,5.66,8.03,25.75,17.09,15.81,13.33,1.61,2.58,1.28,0.79,0.67,50.5
Manari (PE),65.89,41.1,39.85,3.71,3.89,3.61,3.6,40,21.01,39.57,19.76,12.1,0.36,1.26,1.08,2.77,2.02,60.91
Manaus (AM),74.54,14.24,3.78,26.95,26.27,23.53,22.28,15.32,13.85,13.18,12.78,14.52,1.45,1.31,1.25,1.06,0.99,12.9
Mâncio Lima (AC),71.17,24.4,23.79,7.66,8.8,7.57,7.17,5.01,12.11,22.78,6.15,8.38,1,0.24,1.27,1.85,1.68,45.68
Mandaguaçu (PR),74.47,13.4,8.83,15.13,15.09,15.36,15.33,10.6,13.56,6.56,2.77,14.12,1.06,,0.98,0.83,0.56,2.34
Mandaguari (PR),75.39,12.2,7.32,21.55,24.42,24.55,25.73,16.13,15.38,9.92,10.68,7.87,0.69,1.32,0.99,0.85,0.2,3.54
Mandirituba (PR),73.42,14.9,6.63,17.55,17.69,15.97,14.43,13.59,22.22,2.79,12.23,14.96,0.27,0.74,3.06,1.53,1,11.37
Manduri (SP),74.05,16.2,5.78,12.88,11.34,11.63,12.28,0,11.24,19.8,21.28,9.17,,,0.99,1.06,1.83,2.65
Manfrinópolis (PR),73.31,15.1,14.6,12.36,12.04,11.7,12.49,0,0,0,23.81,0,,,2.63,,,20.57
Manga (MG),72.96,18.7,23.37,6.14,6.98,6.98,7.02,18.46,11.4,16.23,23.18,28.94,1.54,1.14,2.27,2.65,1.29,43.56
Mangaratiba (RJ),75.71,13.1,4.1,57.9,59.26,65.49,61.59,5.77,13.28,17.01,11.93,9.01,0.38,0.76,0.95,0.4,0.36,6.71
Mangueirinha (PR),73.67,14.6,9.47,52.71,37.59,44.94,65.14,4.02,18.52,19.29,7.91,0,2.01,2.96,1.93,1.58,1.61,16.79
Manhuaçu (MG),75.35,14.8,8.58,16.15,16.6,16.26,15.76,13.71,12.87,9,9.34,12.84,0.61,0.61,0.38,0.54,0.38,11.28
Manhumirim (MG),75.74,14.2,12.74,11.43,12.9,13.28,12.44,14.65,10.17,27.78,13.75,7.69,1.1,1.36,,0.69,0.77,13.53
Manicoré (AM),69.83,26,16.75,6.54,6.93,6.7,5.88,17.65,9.97,17.2,15.37,21.23,2.36,2,1.51,2.41,2.63,47.59
Manoel Emídio (PI),70.47,26.4,23.88,4.87,5.04,4.92,4.82,0,13.7,0,13.33,13.7,,,4.41,,1.37,50.16
Manoel Ribas (PR),73.36,15,13.66,17.06,17.16,15.87,17.26,14.63,0,21.74,4.48,5.15,2.44,5.21,3.04,1.35,1.03,14.73
Manoel Urbano (AC),71.04,24.7,32.5,7.99,8.75,9.92,9.42,17.47,37.04,30.08,25.42,26.82,2.18,4.13,1.88,5.53,1.16,38.12
Manoel Viana (RS),70.96,19,9.77,20.04,18.44,20.74,20.04,0,30.77,26.67,19.23,0,,,,,,13.93
Manoel Vitorino (BA),69.48,29,27.81,4.63,5.08,5.13,5.05,22.86,28.09,0,10,5.15,2.86,2.25,1.63,1.5,0.52,46.92
Mansidão (BA),70.12,27,17.54,3.19,3.43,3.69,4.26,9.62,11.63,15.38,34.88,39.22,,,1.54,,0.98,55.1
Mantena (MG),73.16,18.3,15.43,8.81,8.96,8.98,8.51,9.71,2.65,14.16,15.58,9.01,1.29,1.06,1.13,0.31,1.2,19.7
Mantenópolis (ES),73.61,16,18.61,6.73,6.74,6.28,6.31,12.27,11.11,17.24,12.58,5.75,0.61,1.11,,1.26,0.57,24.91
Maquiné (RS),77.77,9.3,7.59,10.12,11.05,11.09,11.25,0,0,41.67,0,0,,,1.39,1.82,,6.45
Maraã (AM),70.78,23.2,18.01,4.43,5.05,4.81,5.18,17.75,10.03,21.67,5.59,19.14,2.37,2.76,2.17,2.51,2.15,70.9
Marabá (PA),72.09,21.44,11.36,19.07,19.33,20.12,18.6,16.72,11.12,13.15,15.79,18.68,1.33,1.52,1.55,1.28,1.32,23.53
Marabá Paulista (SP),73.54,17.1,10.35,16.94,19.52,16.07,17.59,0,28.57,0,0,52.63,,,2.7,,,8.28
Maracaçumé (MA),68.14,35.6,25.47,4.3,4.74,4.73,4.95,19.28,10.84,7.67,26.79,18.77,1.65,1.36,1.79,2.38,1.61,41.05
Maracaí (SP),75.97,13.3,8.18,23.58,22.43,23.49,24.52,6.37,0,15.46,13.99,18.87,1.91,1.09,0.52,,0.63,3.41
Maracajá (SC),76.63,11.4,5.53,19.52,19.42,17.44,15.98,12.66,34.48,18.69,9.71,11.11,,0.86,0.93,0.97,,2.51
Maracaju (MS),77.35,13.9,7.22,36.31,33.98,34.45,34.87,10.97,15.41,9.74,16.69,6.32,2.51,1.54,0.83,1.25,1.26,7.82
Maracanã (PA),70.85,24.4,12,4.96,4.98,4.71,4.86,20.41,23.75,9.37,10.44,16.57,2.72,2.14,1.41,0.26,1.38,54.06
Maracanaú (CE),72.27,20.2,9.6,24.16,25.18,25.74,24.05,10.21,9.17,10.7,9.32,11.54,1.12,0.98,1.2,0.64,0.88,18.97
Maracás (BA),69.8,28,24.62,6.01,6.28,7.91,8.77,16.9,18.77,15.63,16.53,8.13,0.28,1.61,2.08,0.55,1.63,39.19
Maragogi (AL),70.96,26.5,29.35,8.01,10.33,9.94,10.06,14.29,23.01,5.91,14.34,19.78,3.27,2.3,1.57,1.43,1.44,44.64
Maragogipe (BA),72.58,20.2,22.75,13.8,9.38,6.75,5.79,14,18,24.84,19.19,11.14,1,1,1.66,0.64,1.11,42.63
Maraial (PE),66.85,37.5,35.09,4.55,4.51,4.35,4.51,18.18,4.33,0,11.43,4.17,1.82,0.87,2.39,1.14,1.67,49.51
Marajá do Sena (MA),71.44,25,39.98,5.55,5.18,,4.38,7.3,61.95,0,9.9,0,2.19,2.65,2.5,2.97,3.41,78.23
Maranguape (CE),72.27,20.2,15.39,6.57,6.84,6.66,6.66,10.72,14.07,11.2,14.07,17.03,1.07,1.06,1.32,1.53,1.24,25.4
Maranhãozinho (MA),68.15,35.6,27.58,3.78,3.95,3.75,3.83,32.61,9.85,24.63,21.86,9.52,1.63,2.46,1.97,3.28,2.38,54.95
Marapanim (PA),70.61,25.1,9.44,4.81,5.36,4.89,5.28,34.06,29.81,21.21,12.16,6.17,1.24,1.63,2.12,1.82,2.16,43.46
Marapoama (SP),76.14,13,6.88,39.49,41.29,92.32,97.24,76.92,66.67,0,30.3,0,3.85,,3.23,,,4.11
Mara Rosa (GO),75.29,12.8,15.71,11.47,12.08,12.07,11.47,23.44,15.38,25.86,17.86,16,1.56,0.77,0.86,1.79,,12.82
Marataízes (ES),75.8,13,9.78,101.7,92.01,47.57,19.37,11.15,16.19,7.19,14.71,9.07,0.56,0.72,0.54,0.74,0.54,15.65
Maratá (RS),76.74,10.5,3.06,26.89,28.83,24.74,24.1,,,,,,,,,,,2.12
Maraú (BA),73.08,18.9,25.44,6.39,6.8,7.09,7.25,4.52,24.15,10,8.81,8.1,2.71,1.45,2.5,4.41,3.24,44.19
Marau (RS),76.44,11.6,3,31.96,32.93,30.4,28.93,10.57,11.39,16.85,4.12,7.52,,0.57,0.37,0.41,0.56,1.31
Maravilha (AL),69.54,31,30.08,4.69,4.62,4.98,4.67,14.29,21.9,12.27,17.09,6.1,1.43,0.73,1.84,,1.22,50.79
Maravilha (SC),78.17,9.5,4.98,30.6,28.98,25.6,25.78,16.13,2.65,5.36,8.29,2.78,,0.27,0.27,,,2.14
Maravilhas (MG),75.7,14.3,7.92,12.51,11.55,8.73,9.57,0,0,81.08,0,14.93,1.19,,,,1.49,9.44
Marcação (PB),66.43,39.6,33.33,6.27,6.49,5.94,5.93,12.5,7.19,12.35,6.21,0,1.25,0.72,3.09,1.24,2.91,47.34
Marcelândia (MT),73.79,17.3,11.76,13.91,15.05,15.24,16.71,10.2,15.54,9.76,36.65,10.1,1.02,1.04,0.49,1.57,2.53,12.32
Marcelino Ramos (RS),75.03,12.7,6.42,14.13,14.59,14.67,14.72,0,20.83,29.41,0,0,,,,2.5,,7.35
Marcelino Vieira (RN),71.56,22.2,30.23,4.97,4.94,4.98,4.63,0,34.09,9.43,12.5,9.8,,2.27,0.94,1.25,1.96,38.87
Marcionílio Souza (BA),69.24,29.8,30.6,5,5.26,4.8,4.66,0,7.46,14.6,28.57,7.81,2.04,2.99,,1.9,1.56,48.41
Marco (CE),69.05,29.4,28.6,6.7,7.46,7.12,6.77,3.88,22.27,22.09,20.16,14.29,1.36,1.42,1.41,1.41,0.61,41.45
Marcolândia (PI),67.02,37.9,34.12,4.13,4.6,5.18,5,16.13,21.13,7.94,32.79,0,1.61,1.41,1.59,4.92,1.38,34.66
Marcos Parente (PI),68.02,34.4,25.31,4.41,4.99,5.52,4.98,17.86,19.61,0,18.87,42.86,,1.96,,,,35.32
Mar de Espanha (MG),74.51,16.1,8.01,8.36,8.47,8.31,7.99,17.86,13.25,21.74,21.9,17.75,0.89,1.32,0.72,,0.59,5.73
Marechal Cândido Rondon (PR),75.51,12.38,3.84,25.21,26.76,26.02,26.9,7.81,7.65,21.21,14.64,13.19,0.47,0.31,0.15,0.29,0.26,2.15
Marechal Deodoro (AL),72.55,21.9,21.9,20.8,19.37,21.01,21.02,10.74,17.37,15.22,20.07,11.04,3.82,2.36,2.22,1.42,1.77,32.01
Marechal Floriano (ES),75.95,12.8,9.61,15.55,15.26,15.64,15.33,19.23,8.03,12.2,0,20.16,0.96,,,0.85,0.81,6.68
Marechal Thaumaturgo (AC),68.55,32.5,34.38,7.72,7.8,6.82,6.7,10.31,30.57,15.73,17.05,28.35,1.65,1.53,2.7,2.85,2.07,63.82
Marema (SC),76.7,11.3,8.42,41.47,22.5,20.77,20.48,,,,,,,,,,,2.65
Maria da Fé (MG),75.53,14.5,7.79,6.66,7.05,7.21,6.94,0,10.93,10.81,6.02,5.26,,,,,0.53,17.14
Maria Helena (PR),75.52,12,14.34,8.56,9.04,9.78,11.39,15.38,34.88,0,58.82,13.16,,1.16,,,1.32,7.43
Marialva (PR),73.84,14.3,6.83,22.39,24.07,27.21,26.32,10.55,11.01,20.08,0,10.14,0.42,0.44,,0.55,0.41,3.65
Mariana (MG),77.43,11.8,6.51,96.03,67.7,39.96,23.81,3.29,12.66,10.28,13.62,13.21,0.22,0.11,0.62,0.45,0.12,11.72
Mariana Pimentel (RS),76.94,10.3,7.56,10.14,10.78,10.6,13.98,0,0,0,0,0,,,,,,6.84
Mariano Moro (RS),75.55,12.8,7.24,15.97,17.06,15.58,14.67,,,,,,,,,,,4.8
Marianópolis do Tocantins (TO),72.53,19.6,17.97,10.74,10.8,12.17,13.38,21.28,0,57.97,35.71,15.15,,6,,5.36,,26.53
Mariápolis (SP),74.78,15.1,8.47,10.87,10.65,9.39,9.15,0,43.48,25.64,26.32,0,2.44,2.17,,,,4.75
Maribondo (AL),70.07,29.2,29.69,6.19,6.18,6.61,6.34,26.2,16.95,9.43,0,10.87,0.44,2.26,1.42,1.78,0.54,34.99
Maricá (RJ),75.99,12.02,4.53,43.17,53.67,47.18,25.94,16.03,9.33,11.68,9.07,13.84,0.25,0.88,0.53,0.74,0.64,4.88
Marilac (MG),71.86,20.6,19.5,6.56,6.71,6.4,6.16,18.52,0,0,80,39.22,,1.59,,2,1.96,20.16
Marilândia do Sul (PR),74.88,12.9,10.47,24.68,19.43,21.01,19.58,16.81,15.63,0,0,17.39,2.52,0.78,2.19,0.81,,12.5
Marilândia (ES),74.35,15,12.11,12.9,12.86,12.26,11.8,8.33,26.32,0,14.39,7.69,1.67,,0.65,1.44,,9
Marilena (PR),74.69,13.1,12.77,8.9,10.89,10.69,10.45,9.9,16,0,10.87,0,0.99,,1.01,1.09,,6.47
Marília (SP),76.26,12.81,4.06,23.55,22.35,21.55,20.9,10.05,13.73,11.51,11.41,9.55,0.4,0.76,0.39,0.37,0.48,4.04
Mariluz (PR),72.65,17.1,17.46,12.09,12.78,11.69,13.34,6.99,6.29,16.39,37.31,34.01,,3.14,2.19,2.24,2.04,13.96
Maringá (PR),76.1,11.05,3.27,29.92,29.27,28.08,26.55,9.54,9.96,9.63,8.34,10.08,0.39,0.3,0.24,0.19,0.16,1.39
Marinópolis (SP),74.5,15.5,10.32,9.34,10.43,9.46,9.56,0,41.67,0,0,0,,,,,,3.62
Mário Campos (MG),74.99,15.3,8.12,7.32,7.7,7.22,6.93,12.61,14.29,20.58,9.43,14.42,0.42,0.48,0.82,0.94,,11.14
Mariópolis (PR),73.24,15.2,7.57,23.21,23.34,22.26,23.78,12.5,22.22,11.11,0,0,1.25,,1.11,1.3,,6.34
Maripá de Minas (MG),75.84,14.1,10.57,12.25,11.34,10.68,10.74,34.48,0,54.05,0,0,,4.55,,,,5.84
Maripá (PR),76.97,10.2,3.32,38.91,37.23,36.75,41.67,0,16.39,14.29,11.11,0,,,1.43,,,2.11
Mari (PB),66.5,39.3,35.54,5.17,5.46,5.63,5.91,14.44,7.63,8.1,7.46,10.68,1.08,1.53,0.81,1.12,1.07,38.18
Marituba (PA),72.6,19.7,4.74,7.92,9.28,9.36,9.15,11.82,15.11,11.81,13.38,13.94,1.69,1.4,1.29,1.06,1.06,17.02
Marizópolis (PB),70.16,26.9,27.07,4.58,5.17,5.18,5.32,0,10.64,21.28,13.51,22.47,1.02,,,,,34.8
Marliéria (MG),75.29,14.9,11.36,6.35,6.57,6.6,6.26,0,0,0,52.63,44.44,,,,,,13.16
Marmeleiro (PR),75.5,12,8.37,15.95,16.88,17.72,18.38,18.18,34.29,0,10.2,33.18,,0.57,0.94,,,10.53
Marmelópolis (MG),73.36,18,10.28,7,7.41,6.78,6.57,32.26,0,0,0,0,,,,,,23.44
Marques de Souza (RS),75.94,11.5,6.91,13.33,13.86,13.4,13.26,0,0,21.74,0,0,,,,,,3.56
Marquinho (PR),73.83,14.3,13.97,9.23,10.24,10.3,10.96,39.47,0,17.54,0,0,3.95,1.39,1.75,2.04,1.39,28.88
Martinho Campos (MG),75.61,14.4,8.95,13.01,14.25,13.76,14.85,0,20.55,38.46,26.14,12.9,,1.37,0.77,2.61,1.29,9.77
Martinópole (CE),70.57,24.8,29.87,3.91,4.12,4.16,4.24,30.86,17.86,20,13.89,0,3.7,1.79,1.33,0.69,1.32,51.02
Martinópolis (SP),74.93,14.8,8.03,12.84,13.18,13.45,14.34,10.1,9.87,25.81,18.52,0,1.68,1.32,0.65,0.74,1.09,7.36
Martins (RN),71.31,22.9,19.21,5.52,5.67,5.63,5.63,0,9.9,0,0,0,,1.98,1.32,1.15,,34.34
Martins Soares (MG),73.53,17.7,15.59,8.78,10.15,10.61,11.01,17.39,21.13,19.05,19.05,9.09,0.87,0.7,,0.95,0.91,17.53
Maruim (SE),71.85,22.2,17.66,11.02,11.39,12.06,11.18,27.97,6.87,13.56,11.54,21.51,2.8,2.41,0.68,2.69,0.36,31.62
Marumbi (PR),74.54,14.2,12.98,10.45,10.07,9.52,9.47,0,0,16.67,37.04,33.9,3.57,1.52,1.67,1.85,1.69,3.82
Mar Vermelho (AL),70.97,26.4,29.99,5.55,5.45,5.57,5.73,60.61,0,0,0,27.78,,3.23,,,2.78,44.07
Marzagão (GO),74.34,14.1,10.7,14.17,13.55,11.53,11.34,0,33.33,0,0,26.32,,,,2.94,,5.17
